slug,name_zh,name_en,country_region,is_supported,content_depth,tone_summary,hero_image_url
kyoto,京都,Kyoto,日本,true,core,从作品、街区和地点关系开始认识这座城市,
tokyo,东京,Tokyo,日本,true,core,孤独、夜晚、现代都市与日常缝隙,
