slug,title,original_title,work_type,creator,year,synopsis,cover_image_url,review_status
old-capital,古都,古都,book,川端康成,1962,一部通过京都街巷和传统生活气息进入城市记忆的小说,,reviewed
lost-in-translation,迷失东京,Lost in Translation,film,Sofia Coppola,2003,一部以东京夜晚和异乡感为核心气质的电影,,reviewed
