slug,city_slug,name,intro,image_url,address,latitude,longitude,map_query,review_status
gion,kyoto,祇园,京都代表性的传统街区之一，与城市的古典气质和夜色记忆紧密相关,,,,,京都 祇园,reviewed
kamo-river,kyoto,鸭川,贯穿京都日常生活的河流，也是许多城市漫游经验的起点,,,,,京都 鸭川,reviewed
